2023-11-04 21:26:43.775 [main] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1709 ms
2023-11-04 21:26:45.668 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8089"]
2023-11-04 21:26:45.697 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8089 (http) with context path ''
2023-11-04 21:26:45.979 [main] INFO  [BasicApplication] - Started BasicApplication in 4.527 seconds (JVM running for 5.463)
2023-11-04 21:26:45.982 [main] INFO  [BasicApplication] - 启动成功！
2023-11-04 21:26:59.582 [http-nio-8089-exec-2] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-04 21:26:59.583 [http-nio-8089-exec-2] INFO  [org.springframework.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-04 21:26:59.584 [http-nio-8089-exec-2] INFO  [org.springframework.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2023-11-04 21:40:20.614 [SpringApplicationShutdownHook] INFO  [com.alibaba.druid.pool.DruidDataSource] - {dataSource-0} closing ...
2023-11-04 21:40:26.042 [main] INFO  [BasicApplication] - Starting BasicApplication using Java 11.0.0.1 on MS-WARELUWVOXZB with PID 724 (D:\code\china\china-basic-manage\target\classes started by Administrator in D:\code\china)
2023-11-04 21:40:26.051 [main] INFO  [BasicApplication] - The following 1 profile is active: "dev"
2023-11-04 21:40:27.861 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] - Multiple Spring Data modules found, entering strict repository configuration mode
2023-11-04 21:40:27.863 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-11-04 21:40:27.884 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2023-11-04 21:40:28.634 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8089 (http)
2023-11-04 21:40:28.644 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8089"]
2023-11-04 21:40:28.646 [main] INFO  [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-04 21:40:28.646 [main] INFO  [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-04 21:40:28.771 [main] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-04 21:40:28.772 [main] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 2649 ms
2023-11-04 21:40:30.884 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8089"]
2023-11-04 21:40:30.941 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8089 (http) with context path ''
2023-11-04 21:40:31.189 [main] INFO  [BasicApplication] - Started BasicApplication in 5.792 seconds (JVM running for 7.183)
2023-11-04 21:40:31.193 [main] INFO  [BasicApplication] - 启动成功！
2023-11-04 21:40:43.704 [http-nio-8089-exec-1] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-04 21:40:43.704 [http-nio-8089-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-04 21:40:43.706 [http-nio-8089-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet] - Completed initialization in 2 ms
2023-11-04 21:48:06.970 [SpringApplicationShutdownHook] INFO  [com.alibaba.druid.pool.DruidDataSource] - {dataSource-0} closing ...
2023-11-04 21:48:11.781 [main] INFO  [BasicApplication] - Starting BasicApplication using Java 11.0.0.1 on MS-WARELUWVOXZB with PID 2112 (D:\code\china\china-basic-manage\target\classes started by Administrator in D:\code\china)
2023-11-04 21:48:11.784 [main] INFO  [BasicApplication] - The following 1 profile is active: "dev"
2023-11-04 21:48:13.165 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] - Multiple Spring Data modules found, entering strict repository configuration mode
2023-11-04 21:48:13.168 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-11-04 21:48:13.192 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
2023-11-04 21:48:14.044 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8089 (http)
2023-11-04 21:48:14.056 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8089"]
2023-11-04 21:48:14.058 [main] INFO  [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-04 21:48:14.059 [main] INFO  [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-04 21:48:14.196 [main] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-04 21:48:14.196 [main] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 2349 ms
2023-11-04 21:48:16.461 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8089"]
2023-11-04 21:48:16.490 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8089 (http) with context path ''
2023-11-04 21:48:16.739 [main] INFO  [BasicApplication] - Started BasicApplication in 5.536 seconds (JVM running for 6.664)
